#IRC            bondlength      EnergyTotal     Int             Elstat          Pauli           OI              Disp            StrainTotal     frag1Strain     frag2Strain     
1               -0.99800        47.82573        47.52369        -72.13525       168.44011       -44.43604       -4.34513        0.30204         0.06003         0.24200         
2               -0.91467        33.69310        33.39107        -60.98300       135.76356       -37.15699       -4.23250        0.30204         0.06003         0.24200         
3               -0.83133        22.44427        22.14224        -51.55230       108.71105       -30.95130       -4.06522        0.30204         0.06003         0.24200         
4               -0.74800        13.63176        13.32972        -43.62125       86.51439        -25.70311       -3.86031        0.30204         0.06003         0.24200         
5               -0.66467        6.82993         6.52790         -36.98747       68.45748        -21.29737       -3.64474        0.30204         0.06003         0.24200         
6               -0.58133        1.67383         1.37179         -31.46218       53.88550        -17.62254       -3.42900        0.30204         0.06003         0.24200         
7               -0.49800        -2.15225        -2.45429        -26.87598       42.21306        -14.57427       -3.21709        0.30204         0.06003         0.24200         
8               -0.41467        -4.91624        -5.21827        -23.07808       32.92682        -12.05613       -3.01087        0.30204         0.06003         0.24200         
9               -0.33133        -6.84127        -7.14330        -19.93625       25.58721        -9.98288        -2.81137        0.30204         0.06003         0.24200         
10              -0.24800        -8.11307        -8.41510        -17.33713       19.82069        -8.27939        -2.61927        0.30204         0.06003         0.24200         
11              -0.16467        -8.88400        -9.18603        -15.18408       15.31349        -6.88040        -2.43504        0.30204         0.06003         0.24200         
12              -0.08133        -9.27616        -9.57819        -13.39542       11.80751        -5.73120        -2.25908        0.30204         0.06003         0.24200         
13              0.00200         -9.38796        -9.69000        -11.90379       9.09283         -4.78737        -2.09166        0.30204         0.06003         0.24200         
14              0.08533         -9.29720        -9.59923        -10.65405       6.99839         -4.01059        -1.93298        0.30204         0.06003         0.24200         
15              0.16867         -9.06384        -9.36587        -9.60104        5.38862         -3.37029        -1.78316        0.30204         0.06003         0.24200         
16              0.25200         -8.73394        -9.03597        -8.70807        4.15622         -2.84193        -1.64219        0.30204         0.06003         0.24200         
17              0.33533         -8.34390        -8.64594        -7.94545        3.21364         -2.40416        -1.50997        0.30204         0.06003         0.24200         
18              0.41867         -7.91966        -8.22170        -7.28923        2.49505         -2.04120        -1.38632        0.30204         0.06003         0.24200         
19              0.50200         -7.47954        -7.78158        -6.72025        1.94910         -1.73948        -1.27095        0.30204         0.06003         0.24200         
20              0.58533         -7.03893        -7.34096        -6.22313        1.53344         -1.48775        -1.16351        0.30204         0.06003         0.24200         
21              0.66867         -6.60761        -6.90965        -5.78580        1.21680         -1.27703        -1.06362        0.30204         0.06003         0.24200         
22              0.75200         -6.19143        -6.49347        -5.39813        0.97564         -1.10009        -0.97088        0.30204         0.06003         0.24200         
23              0.83533         -5.79534        -6.09738        -5.05218        0.79151         -0.95181        -0.88490        0.30204         0.06003         0.24200         
24              0.91867         -5.42137        -5.72341        -4.74158        0.65014         -0.82664        -0.80532        0.30204         0.06003         0.24200         
25              1.00200         -5.07008        -5.37211        -4.46084        0.54072         -0.72017        -0.73182        0.30204         0.06003         0.24200         
26              1.08533         -4.74247        -5.04451        -4.20593        0.45588         -0.63036        -0.66410        0.30204         0.06003         0.24200         
27              1.16867         -4.43796        -4.74000        -3.97330        0.38914         -0.55396        -0.60188        0.30204         0.06003         0.24200         
28              1.25200         -4.15589        -4.45792        -3.76008        0.33508         -0.48804        -0.54489        0.30204         0.06003         0.24200         
29              1.33533         -3.89508        -4.19712        -3.56397        0.29154         -0.43182        -0.49286        0.30204         0.06003         0.24200         
30              1.41867         -3.65379        -3.95582        -3.38278        0.25630         -0.38382        -0.44552        0.30204         0.06003         0.24200         
31              1.50200         -3.43118        -3.73322        -3.21497        0.22634         -0.34201        -0.40258        0.30204         0.06003         0.24200         
32              1.58533         -3.22600        -3.52803        -3.05912        0.20035         -0.30552        -0.36374        0.30204         0.06003         0.24200         
33              1.66867         -3.03627        -3.33830        -2.91403        0.17858         -0.27416        -0.32870        0.30204         0.06003         0.24200         
34              1.75200         -2.86066        -3.16269        -2.77861        0.15979         -0.24673        -0.29714        0.30204         0.06003         0.24200         
35              1.83533         -2.69860        -3.00063        -2.65187        0.14250         -0.22249        -0.26877        0.30204         0.06003         0.24200         
36              1.91867         -2.54844        -2.85047        -2.53315        0.12714         -0.20116        -0.24330        0.30204         0.06003         0.24200         
37              2.00200         -2.40868        -2.71071        -2.42179        0.11388         -0.18237        -0.22044        0.30204         0.06003         0.24200         
38              2.08533         -2.27884        -2.58087        -2.31721        0.10192         -0.16563        -0.19994        0.30204         0.06003         0.24200         
39              2.16867         -2.15844        -2.46048        -2.21886        0.09073         -0.15079        -0.18155        0.30204         0.06003         0.24200         
40              2.25200         -2.04571        -2.34774        -2.12592        0.08068         -0.13746        -0.16505        0.30204         0.06003         0.24200         
41              2.33533         -1.93991        -2.24195        -2.03812        0.07191         -0.12550        -0.15024        0.30204         0.06003         0.24200         
42              2.41867         -1.84092        -2.14296        -1.95541        0.06408         -0.11468        -0.13694        0.30204         0.06003         0.24200         
43              2.50200         -1.74864        -2.05068        -1.87741        0.05673         -0.10502        -0.12498        0.30204         0.06003         0.24200         
44              2.58533         -1.66177        -1.96381        -1.80341        0.05005         -0.09623        -0.11422        0.30204         0.06003         0.24200         
45              2.66867         -1.57962        -1.88165        -1.73314        0.04432         -0.08831        -0.10452        0.30204         0.06003         0.24200         
46              2.75200         -1.50225        -1.80429        -1.66676        0.03928         -0.08103        -0.09578        0.30204         0.06003         0.24200         
47              2.83533         -1.42944        -1.73148        -1.60380        0.03461         -0.07441        -0.08788        0.30204         0.06003         0.24200         
