#IRC            bondlength      EnergyTotal     Int             Elstat          Pauli           OI              Disp            StrainTotal     frag1Strain     frag2Strain     
1                 0.000         704.326          47.524         -72.135         168.440         -44.436          -4.345         656.802         328.310         328.492         
2                 0.082         690.451          33.649         -61.193         136.371         -37.294          -4.235         656.802         328.310         328.492         
3                 0.163         679.353          22.551         -51.906         109.715         -31.185          -4.073         656.802         328.310         328.492         
4                 0.245         670.610          13.807         -44.068          87.747         -25.999          -3.873         656.802         328.310         328.492         
5                 0.327         663.819           7.017         -37.485          69.792         -21.628          -3.662         656.802         328.310         328.492         
6                 0.408         658.634           1.832         -31.980          55.230         -17.967          -3.451         656.802         328.310         328.492         
7                 0.490         654.754          -2.048         -27.392          43.505         -14.917          -3.243         656.802         328.310         328.492         
8                 0.571         651.923          -4.880         -23.578          34.125         -12.387          -3.040         656.802         328.310         328.492         
9                 0.653         649.924          -6.878         -20.409          26.669         -10.294          -2.843         656.802         328.310         328.492         
10                0.735         648.579          -8.223         -17.778          20.777          -8.568          -2.654         656.802         328.310         328.492         
11                0.816         647.739          -9.063         -15.591          16.144          -7.144          -2.472         656.802         328.310         328.492         
12                0.898         647.284          -9.518         -13.769          12.519          -5.970          -2.298         656.802         328.310         328.492         
13                0.980         647.118          -9.684         -12.245           9.694          -5.002          -2.132         656.802         328.310         328.492         
14                1.061         647.163          -9.639         -10.965           7.502          -4.202          -1.974         656.802         328.310         328.492         
15                1.143         647.358          -9.444          -9.884           5.806          -3.541          -1.825         656.802         328.310         328.492         
16                1.224         647.657          -9.145          -8.966           4.499          -2.993          -1.684         656.802         328.310         328.492         
17                1.306         648.024          -8.778          -8.182           3.494          -2.538          -1.552         656.802         328.310         328.492         
18                1.388         648.431          -8.372          -7.506           2.722          -2.160          -1.428         656.802         328.310         328.492         
19                1.469         648.858          -7.944          -6.920           2.133          -1.844          -1.312         656.802         328.310         328.492         
20                1.551         649.291          -7.511          -6.408           1.681          -1.580          -1.204         656.802         328.310         328.492         
21                1.633         649.718          -7.084          -5.958           1.336          -1.359          -1.104         656.802         328.310         328.492         
22                1.714         650.132          -6.670          -5.559           1.071          -1.172          -1.010         656.802         328.310         328.492         
23                1.796         650.530          -6.273          -5.203           0.868          -1.015          -0.923         656.802         328.310         328.492         
24                1.878         650.906          -5.896          -4.883           0.712          -0.883          -0.842         656.802         328.310         328.492         
25                1.959         651.261          -5.541          -4.595           0.591          -0.770          -0.767         656.802         328.310         328.492         
26                2.041         651.593          -5.209          -4.333           0.496          -0.674          -0.698         656.802         328.310         328.492         
27                2.122         651.903          -4.899          -4.094           0.423          -0.593          -0.634         656.802         328.310         328.492         
28                2.204         652.191          -4.611          -3.875           0.363          -0.523          -0.576         656.802         328.310         328.492         
29                2.286         652.458          -4.344          -3.674           0.315          -0.463          -0.522         656.802         328.310         328.492         
30                2.367         652.706          -4.096          -3.488           0.276          -0.411          -0.473         656.802         328.310         328.492         
31                2.449         652.935          -3.867          -3.316           0.244          -0.367          -0.428         656.802         328.310         328.492         
32                2.531         653.146          -3.656          -3.156           0.216          -0.328          -0.388         656.802         328.310         328.492         
33                2.612         653.341          -3.461          -3.008           0.192          -0.294          -0.351         656.802         328.310         328.492         
34                2.694         653.523          -3.279          -2.869           0.172          -0.265          -0.318         656.802         328.310         328.492         
35                2.776         653.690          -3.112          -2.739           0.154          -0.239          -0.288         656.802         328.310         328.492         
36                2.857         653.845          -2.957          -2.617           0.138          -0.216          -0.261         656.802         328.310         328.492         
37                2.939         653.990          -2.812          -2.503           0.123          -0.196          -0.237         656.802         328.310         328.492         
38                3.020         654.124          -2.678          -2.396           0.111          -0.178          -0.215         656.802         328.310         328.492         
39                3.102         654.249          -2.553          -2.295           0.099          -0.162          -0.196         656.802         328.310         328.492         
40                3.184         654.365          -2.437          -2.199           0.089          -0.148          -0.178         656.802         328.310         328.492         
41                3.265         654.474          -2.328          -2.109           0.079          -0.135          -0.162         656.802         328.310         328.492         
42                3.347         654.577          -2.225          -2.024           0.071          -0.124          -0.148         656.802         328.310         328.492         
43                3.429         654.673          -2.129          -1.944           0.063          -0.113          -0.135         656.802         328.310         328.492         
44                3.510         654.762          -2.040          -1.868           0.056          -0.104          -0.124         656.802         328.310         328.492         
45                3.592         654.847          -1.955          -1.796           0.049          -0.095          -0.113         656.802         328.310         328.492         
46                3.673         654.927          -1.875          -1.728           0.044          -0.088          -0.104         656.802         328.310         328.492         
47                3.755         655.002          -1.800          -1.663           0.039          -0.081          -0.095         656.802         328.310         328.492         
48                3.837         655.073          -1.729          -1.601           0.034          -0.074          -0.088         656.802         328.310         328.492         
49                3.918         655.141          -1.661          -1.543           0.030          -0.068          -0.081         656.802         328.310         328.492         
50                4.000         655.204          -1.598          -1.487           0.027          -0.063          -0.074         656.802         328.310         328.492         
