#IRC            bondlength      EnergyTotal     Int             Elstat          Pauli           OI              Disp            StrainTotal     frag1Strain     frag2Strain     
1               -0.99800        88.46891        88.16688        -72.13525       168.44011       -3.79286        -4.34513        0.30204         0.06003         0.24200         
2               -0.91467        67.71764        67.41560        -60.98300       135.76356       -3.13245        -4.23250        0.30204         0.06003         0.24200         
3               -0.83133        50.80270        50.50066        -51.55230       108.71105       -2.59288        -4.06522        0.30204         0.06003         0.24200         
4               -0.74800        37.18142        36.87938        -43.62125       86.51439        -2.15345        -3.86031        0.30204         0.06003         0.24200         
5               -0.66467        26.33087        26.02884        -36.98747       68.45748        -1.79643        -3.64474        0.30204         0.06003         0.24200         
6               -0.58133        17.78961        17.48758        -31.46218       53.88550        -1.50676        -3.42900        0.30204         0.06003         0.24200         
7               -0.49800        11.15031        10.84828        -26.87598       42.21306        -1.27171        -3.21709        0.30204         0.06003         0.24200         
8               -0.41467        6.05922         5.75719         -23.07808       32.92682        -1.08067        -3.01087        0.30204         0.06003         0.24200         
9               -0.33133        2.21679         1.91476         -19.93625       25.58721        -0.92482        -2.81137        0.30204         0.06003         0.24200         
10              -0.24800        -0.63065        -0.93268        -17.33713       19.82069        -0.79697        -2.61927        0.30204         0.06003         0.24200         
11              -0.16467        -2.69496        -2.99699        -15.18408       15.31349        -0.69136        -2.43504        0.30204         0.06003         0.24200         
12              -0.08133        -4.14839        -4.45042        -13.39542       11.80751        -0.60343        -2.25908        0.30204         0.06003         0.24200         
13              0.00200         -5.13019        -5.43223        -11.90379       9.09283         -0.52960        -2.09166        0.30204         0.06003         0.24200         
14              0.08533         -5.75370        -6.05574        -10.65405       6.99839         -0.46709        -1.93298        0.30204         0.06003         0.24200         
15              0.16867         -6.10726        -6.40930        -9.60104        5.38862         -0.41371        -1.78316        0.30204         0.06003         0.24200         
16              0.25200         -6.25979        -6.56182        -8.70807        4.15622         -0.36778        -1.64219        0.30204         0.06003         0.24200         
17              0.33533         -6.26774        -6.56977        -7.94545        3.21364         -0.32799        -1.50997        0.30204         0.06003         0.24200         
18              0.41867         -6.17176        -6.47379        -7.28923        2.49505         -0.29330        -1.38632        0.30204         0.06003         0.24200         
19              0.50200         -6.00295        -6.30498        -6.72025        1.94910         -0.26288        -1.27095        0.30204         0.06003         0.24200         
20              0.58533         -5.78728        -6.08931        -6.22313        1.53344         -0.23610        -1.16351        0.30204         0.06003         0.24200         
21              0.66867         -5.54302        -5.84506        -5.78580        1.21680         -0.21244        -1.06362        0.30204         0.06003         0.24200         
22              0.75200         -5.28281        -5.58484        -5.39813        0.97564         -0.19147        -0.97088        0.30204         0.06003         0.24200         
23              0.83533         -5.01637        -5.31840        -5.05218        0.79151         -0.17283        -0.88490        0.30204         0.06003         0.24200         
24              0.91867         -4.75097        -5.05300        -4.74158        0.65014         -0.15624        -0.80532        0.30204         0.06003         0.24200         
25              1.00200         -4.49134        -4.79337        -4.46084        0.54072         -0.14143        -0.73182        0.30204         0.06003         0.24200         
26              1.08533         -4.24031        -4.54234        -4.20593        0.45588         -0.12819        -0.66410        0.30204         0.06003         0.24200         
27              1.16867         -4.00035        -4.30239        -3.97330        0.38914         -0.11635        -0.60188        0.30204         0.06003         0.24200         
28              1.25200         -3.77359        -4.07562        -3.76008        0.33508         -0.10574        -0.54489        0.30204         0.06003         0.24200         
29              1.33533         -3.55948        -3.86151        -3.56397        0.29154         -0.09622        -0.49286        0.30204         0.06003         0.24200         
30              1.41867         -3.35764        -3.65967        -3.38278        0.25630         -0.08767        -0.44552        0.30204         0.06003         0.24200         
31              1.50200         -3.16915        -3.47119        -3.21497        0.22634         -0.07998        -0.40258        0.30204         0.06003         0.24200         
32              1.58533         -2.99353        -3.29556        -3.05912        0.20035         -0.07305        -0.36374        0.30204         0.06003         0.24200         
33              1.66867         -2.82892        -3.13096        -2.91403        0.17858         -0.06681        -0.32870        0.30204         0.06003         0.24200         
34              1.75200         -2.67511        -2.97714        -2.77861        0.15979         -0.06118        -0.29714        0.30204         0.06003         0.24200         
35              1.83533         -2.53220        -2.83424        -2.65187        0.14250         -0.05609        -0.26877        0.30204         0.06003         0.24200         
36              1.91867         -2.39877        -2.70080        -2.53315        0.12714         -0.05149        -0.24330        0.30204         0.06003         0.24200         
37              2.00200         -2.27364        -2.57567        -2.42179        0.11388         -0.04732        -0.22044        0.30204         0.06003         0.24200         
38              2.08533         -2.15674        -2.45878        -2.31721        0.10192         -0.04354        -0.19994        0.30204         0.06003         0.24200         
39              2.16867         -2.04777        -2.34980        -2.21886        0.09073         -0.04011        -0.18155        0.30204         0.06003         0.24200         
40              2.25200         -1.94525        -2.24728        -2.12592        0.08068         -0.03699        -0.16505        0.30204         0.06003         0.24200         
41              2.33533         -1.84857        -2.15060        -2.03812        0.07191         -0.03416        -0.15024        0.30204         0.06003         0.24200         
42              2.41867         -1.75781        -2.05985        -1.95541        0.06408         -0.03157        -0.13694        0.30204         0.06003         0.24200         
43              2.50200         -1.67284        -1.97488        -1.87741        0.05673         -0.02921        -0.12498        0.30204         0.06003         0.24200         
44              2.58533         -1.59260        -1.89463        -1.80341        0.05005         -0.02706        -0.11422        0.30204         0.06003         0.24200         
45              2.66867         -1.51639        -1.81843        -1.73314        0.04432         -0.02509        -0.10452        0.30204         0.06003         0.24200         
46              2.75200         -1.44451        -1.74654        -1.66676        0.03928         -0.02329        -0.09578        0.30204         0.06003         0.24200         
47              2.83533         -1.37666        -1.67870        -1.60380        0.03461         -0.02163        -0.08788        0.30204         0.06003         0.24200         
48              2.91867         -1.31244        -1.61447        -1.54397        0.03036         -0.02012        -0.08074        0.30204         0.06003         0.24200         
49              3.00200         -1.25143        -1.55347        -1.48716        0.02669         -0.01872        -0.07428        0.30204         0.06003         0.24200         
