#IRC            bondlength      EnergyTotal     Int             Elstat          Pauli           OI              Disp            StrainTotal     frag1Strain     frag2Strain     
1               -0.99800        51.91402        51.61199        -72.13525       168.44011       -40.34774       -4.34513        0.30204         0.06003         0.24200         
2               -0.91467        37.06342        36.76139        -60.98300       135.76356       -33.78667       -4.23250        0.30204         0.06003         0.24200         
3               -0.83133        25.22266        24.92062        -51.55230       108.71105       -28.17292       -4.06522        0.30204         0.06003         0.24200         
4               -0.74800        15.92550        15.62347        -43.62125       86.51439        -23.40936       -3.86031        0.30204         0.06003         0.24200         
5               -0.66467        8.72874         8.42671         -36.98747       68.45748        -19.39856       -3.64474        0.30204         0.06003         0.24200         
6               -0.58133        3.25151         2.94948         -31.46218       53.88550        -16.04485       -3.42900        0.30204         0.06003         0.24200         
7               -0.49800        -0.83553        -1.13757        -26.87598       42.21306        -13.25755       -3.21709        0.30204         0.06003         0.24200         
8               -0.41467        -3.81189        -4.11392        -23.07808       32.92682        -10.95178       -3.01087        0.30204         0.06003         0.24200         
9               -0.33133        -5.91027        -6.21230        -19.93625       25.58721        -9.05188        -2.81137        0.30204         0.06003         0.24200         
10              -0.24800        -7.32417        -7.62620        -17.33713       19.82069        -7.49049        -2.61927        0.30204         0.06003         0.24200         
11              -0.16467        -8.21221        -8.51424        -15.18408       15.31349        -6.20861        -2.43504        0.30204         0.06003         0.24200         
12              -0.08133        -8.70143        -9.00347        -13.39542       11.80751        -5.15648        -2.25908        0.30204         0.06003         0.24200         
13              0.00200         -8.89412        -9.19615        -11.90379       9.09283         -4.29353        -2.09166        0.30204         0.06003         0.24200         
14              0.08533         -8.87113        -9.17317        -10.65405       6.99839         -3.58452        -1.93298        0.30204         0.06003         0.24200         
15              0.16867         -8.69488        -8.99691        -9.60104        5.38862         -3.00133        -1.78316        0.30204         0.06003         0.24200         
16              0.25200         -8.41331        -8.71534        -8.70807        4.15622         -2.52130        -1.64219        0.30204         0.06003         0.24200         
17              0.33533         -8.06439        -8.36643        -7.94545        3.21364         -2.12465        -1.50997        0.30204         0.06003         0.24200         
18              0.41867         -7.67527        -7.97730        -7.28923        2.49505         -1.79681        -1.38632        0.30204         0.06003         0.24200         
19              0.50200         -7.26524        -7.56728        -6.72025        1.94910         -1.52518        -1.27095        0.30204         0.06003         0.24200         
20              0.58533         -6.85052        -7.15256        -6.22313        1.53344         -1.29935        -1.16351        0.30204         0.06003         0.24200         
21              0.66867         -6.44156        -6.74359        -5.78580        1.21680         -1.11098        -1.06362        0.30204         0.06003         0.24200         
22              0.75200         -6.04472        -6.34675        -5.39813        0.97564         -0.95338        -0.97088        0.30204         0.06003         0.24200         
23              0.83533         -5.66539        -5.96742        -5.05218        0.79151         -0.82185        -0.88490        0.30204         0.06003         0.24200         
24              0.91867         -5.30599        -5.60802        -4.74158        0.65014         -0.71126        -0.80532        0.30204         0.06003         0.24200         
25              1.00200         -4.96741        -5.26945        -4.46084        0.54072         -0.61750        -0.73182        0.30204         0.06003         0.24200         
26              1.08533         -4.65090        -4.95293        -4.20593        0.45588         -0.53878        -0.66410        0.30204         0.06003         0.24200         
27              1.16867         -4.35609        -4.65812        -3.97330        0.38914         -0.47208        -0.60188        0.30204         0.06003         0.24200         
28              1.25200         -4.08255        -4.38458        -3.76008        0.33508         -0.41470        -0.54489        0.30204         0.06003         0.24200         
29              1.33533         -3.82923        -4.13126        -3.56397        0.29154         -0.36597        -0.49286        0.30204         0.06003         0.24200         
30              1.41867         -3.59451        -3.89655        -3.38278        0.25630         -0.32454        -0.44552        0.30204         0.06003         0.24200         
31              1.50200         -3.37773        -3.67977        -3.21497        0.22634         -0.28856        -0.40258        0.30204         0.06003         0.24200         
32              1.58533         -3.17770        -3.47974        -3.05912        0.20035         -0.25723        -0.36374        0.30204         0.06003         0.24200         
33              1.66867         -2.99253        -3.29457        -2.91403        0.17858         -0.23042        -0.32870        0.30204         0.06003         0.24200         
34              1.75200         -2.82096        -3.12300        -2.77861        0.15979         -0.20704        -0.29714        0.30204         0.06003         0.24200         
35              1.83533         -2.66251        -2.96455        -2.65187        0.14250         -0.18640        -0.26877        0.30204         0.06003         0.24200         
36              1.91867         -2.51557        -2.81760        -2.53315        0.12714         -0.16829        -0.24330        0.30204         0.06003         0.24200         
37              2.00200         -2.37868        -2.68072        -2.42179        0.11388         -0.15237        -0.22044        0.30204         0.06003         0.24200         
38              2.08533         -2.25141        -2.55344        -2.31721        0.10192         -0.13821        -0.19994        0.30204         0.06003         0.24200         
39              2.16867         -2.13332        -2.43536        -2.21886        0.09073         -0.12567        -0.18155        0.30204         0.06003         0.24200         
40              2.25200         -2.02267        -2.32470        -2.12592        0.08068         -0.11441        -0.16505        0.30204         0.06003         0.24200         
41              2.33533         -1.91874        -2.22078        -2.03812        0.07191         -0.10433        -0.15024        0.30204         0.06003         0.24200         
42              2.41867         -1.82144        -2.12347        -1.95541        0.06408         -0.09519        -0.13694        0.30204         0.06003         0.24200         
43              2.50200         -1.73069        -2.03272        -1.87741        0.05673         -0.08706        -0.12498        0.30204         0.06003         0.24200         
44              2.58533         -1.64520        -1.94724        -1.80341        0.05005         -0.07966        -0.11422        0.30204         0.06003         0.24200         
45              2.66867         -1.56430        -1.86633        -1.73314        0.04432         -0.07300        -0.10452        0.30204         0.06003         0.24200         
46              2.75200         -1.48808        -1.79011        -1.66676        0.03928         -0.06685        -0.09578        0.30204         0.06003         0.24200         
47              2.83533         -1.41631        -1.71835        -1.60380        0.03461         -0.06128        -0.08788        0.30204         0.06003         0.24200         
48              2.91867         -1.34862        -1.65066        -1.54397        0.03036         -0.05630        -0.08074        0.30204         0.06003         0.24200         
49              3.00200         -1.28445        -1.58648        -1.48716        0.02669         -0.05174        -0.07428        0.30204         0.06003         0.24200         
